Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,combo
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-1_A_6,6,green,fragment,Non-Fiber,Greens,0,0,0,0.853,2.263,0.755,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-5_C_43,43,pink,fragment,Non-Fiber,Reds,0,0,0,1.113,2.257,1.041,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-4_C_46,46,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.043,2.253,0.999,4.941,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_A_47,47,yellow,fragment,Non-Fiber,Yellows,0,thin long piece,0,0.000253,2.247,0.358,2.482,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-4_C_21,21,clear,fragment,Non-Fiber,Transparent,0,0,0,0.000246,2.237,1.165,3.725,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_B_21,21,gray,fragment,Non-Fiber,Blacks,0,0,0,0.119,2.232,1.388,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-4_A_35,35,black,fragment,Non-Fiber,Blacks,0,0,done,1.323,2.218,0.779,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-4_C_31,31,white,fragment,Non-Fiber,Whites,0,0,0,1.529,2.212,1.201,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-3_A_32,32,gray,fragment,Non-Fiber,Blacks,0,0,0,0.000254,2.207,0.463,3.107,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-4_C_35,35,black,TRWP,Non-Fiber,Blacks,0,0,done,2.276,2.204,1.619,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_D_39,39,gray,fragment,Non-Fiber,Blacks,0,0,0,0.075,2.192,0.183,0,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_D_4,4,clear,fragment,Non-Fiber,Transparent,0,0,0,0.771,2.185,0.792,0,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-1_A_48,48,green,fragment,Non-Fiber,Greens,0,0,0,0.243,2.152,0.366,0,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-1_B_35,35,white,fragment,Non-Fiber,Whites,0,0,0,0.93,2.142,0.667,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-3_B_5,5,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.046,2.136,1.898,5.388,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-1_B_74,74,black,TRWP,Non-Fiber,Blacks,0,0,0,1.269,2.134,0.909,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_C_5,5,gray,fragment,Non-Fiber,Blacks,0,0,0,1.215,2.13,1.342,0,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-1_B_77,77,gray,fragment,Non-Fiber,Blacks,0,0,0,1.334,2.127,1.113,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-3_A_73,73,gray,fragment,Non-Fiber,Blacks,0,0,0,0.086,2.117,0.416,0,sub
