Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,combo
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_2,2,black,fragment,Non-Fiber,Blacks,0,hard surface,done,0.425,0.863,0.72,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_20,20,black,tw,Non-Fiber,Blacks,0,"bounces back slightly, retains original shape",done,0.139,0.766,0.31,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_21,21,black,tw,Non-Fiber,Blacks,0,"bounces back slightly, retains original shape",done,0.179,0.888,0.315,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_22,22,white,foam,Non-Fiber,Whites,0,0,0,2.346,2.142,1.744,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_23,23,blue,fragment,Non-Fiber,Blues,0,0,0,0.232,0.763,0.465,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_25,25,black,tw,Non-Fiber,Blacks,0,"bounces back slightly, retains original shape",done,0.179,0.667,0.447,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_26,26,black,fragment,Non-Fiber,Blacks,0,slighly hard but does slighly bounce back when touched,done,0.165,0.884,0.353,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_27,27,red,fragment,Non-Fiber,Reds,0,"thin particle, not transparent",done,0.316,0.844,0.602,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_28,28,gray,fragment,Non-Fiber,Blacks,0,can be compressed,done,0.153,0.954,0.303,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_3,3,black,fragment,Non-Fiber,Blacks,0,can be compressed,done,1.128,3.079,0.646,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_5,5,gray,fragment,Non-Fiber,Blacks,0,"very thin particle, hard to tell",done,0.152,1.003,0.403,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_6,6,gray,fragment,Non-Fiber,Blacks,0,"very thin particle, can be compressed",done,2.71,2.557,2.181,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_7,7,gray,fragment,Non-Fiber,Blacks,0,"very thin particle, can be compressed",done,1.389,2.154,1.058,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_A_8,8,black,fragment,Non-Fiber,Blacks,0,bounces back slightly,done,0.585,1.311,0.736,0,sub
