Material,Morphology,Material (Raw Data),Morphology (Raw Data),Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,plastic_or_not,Length (microns),Width (microns),Min Projected Height (microns),Max Projected Height (microns),Projected Height (microns),Density (mg/microns3),5% Density (mg/microns3),95% Density (mg/microns3),10% Density (mg/microns3),90% Density (mg/microns3),Min Projected Width (microns),Max Projected Width (microns),Projected Width (microns)
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.25,BF-2,SDC-BF-2-N-3,SDC-BF-2,SDC-BF-2-N-3_S0-0_B_26,26,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",done,0.168,0.75,0.446,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,446,7.5,750,378.75,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,75,750,412.5
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.25,BF-2,SDC-BF-2-N-3,SDC-BF-2,SDC-BF-2-N-3_S0-0_C_30,30,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",done,0.192,0.683,0.524,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,683,524,6.83,683,344.915,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,68.3,683,375.65
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.25,BF-2,SDC-BF-2-N-3,SDC-BF-2,SDC-BF-2-N-3_S0-0_C_36,36,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",done,0.121,0.766,0.479,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,766,479,7.66,766,386.83,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,76.6,766,421.3
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.25,BF-2,SDC-BF-2-N-3,SDC-BF-2,SDC-BF-2-N-3_S0-0_C_40,40,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",done,0.134,0.534,0.417,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534,417,5.34,534,269.67,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,53.4,534,293.7
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_B_32,32,black,Non-Fiber,Black,0,0,0,0.089,0.754,0.255,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754,255,7.54,255,131.27,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,75.4,754,414.7
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_B_43,43,black,Non-Fiber,Black,0,0,0,0.415,1.061,0.63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1061,630,10.61,1061,535.805,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,106.1,1061,583.55
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_C_35,35,black,Non-Fiber,Black,0,0,0,0.146,0.945,0.403,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,945,403,9.45,403,206.225,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,94.5,945,519.75
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_C_40,40,black,Non-Fiber,Black,0,0,0,0.233,0.67,0.572,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670,572,6.7,670,338.35,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,67,670,368.5
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_D_20,20,black,Non-Fiber,Black,0,0,0,0.075,0.506,0.287,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506,287,5.06,506,255.53,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,50.6,506,278.3
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_D_21,21,black,Non-Fiber,Black,0,0,0,0.058,0.611,0.204,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611,204,6.11,204,105.055,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,61.1,611,336.05
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_D_39,39,black,Non-Fiber,Black,0,0,0,0.119,0.556,0.38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556,380,5.56,556,280.78,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,55.6,556,305.8
