Material,Morphology,Material (Raw Data),Morphology (Raw Data),Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,plastic_or_not,Length (microns),Width (microns),Min Projected Height (microns),Max Projected Height (microns),Projected Height (microns),Density (mg/microns3),5% Density (mg/microns3),95% Density (mg/microns3),10% Density (mg/microns3),90% Density (mg/microns3),Min Projected Width (microns),Max Projected Width (microns),Projected Width (microns)
tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_A_33,33,black,Non-Fiber,Black,0,"rubbery texture, tears apart easily.",done,0.121,0.592,0.43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592,430,5.92,592,298.96,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,59.2,592,325.6
tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_B_1,1,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.091,0.484,0.323,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484,323,4.84,484,244.42,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,48.4,484,266.2
tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_B_36,36,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.12,0.557,0.387,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557,387,5.57,557,281.285,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,55.7,557,306.35
tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_C_1,1,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.137,0.638,0.313,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,638,313,6.38,313,159.69,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,63.8,638,350.9
tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_C_6,6,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.155,0.747,0.409,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,747,409,7.47,747,377.235,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,74.7,747,410.85
tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_C_9,9,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.125,0.531,0.329,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531,329,5.31,531,268.155,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,53.1,531,292.05
tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_C_13,13,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.042,0.391,0.179,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,179,3.91,179,91.455,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,39.1,391,215.05
tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_C_22,22,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.085,0.426,0.302,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,302,4.26,426,215.13,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,42.6,426,234.3
tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_C_27,27,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.085,0.726,0.207,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,726,207,7.26,207,107.13,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,72.6,726,399.3
tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,2,C,Inside Thalweg,0.28,DF-1,SAD-DF-1-N-2,SAD-DF-1,SAD-DF-1-N-2_S0-0_C_32,32,black,Non-Fiber,Black,0,"rubbery texture, bounces back, tears apart easily.",done,0.154,1.373,0.265,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1373,265,13.73,265,139.365,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,137.3,1373,755.15
