X,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,a,b,c,CSF,Deqi,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
53,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_F_12,12,black,Non-Fiber,Black,0.000719,0.00064,0.000363095,0.53526129,0.000550778,1450,0.040477831,1.474694702,1290,0.031143247,1.134615651,1610,0.04854953,1.768764089
54,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_F_17,17,black,Non-Fiber,Black,0.000548,0.000388,0.00027674,0.60015827,0.000388951,1450,0.032822518,1.195795142,1290,0.025253324,0.920033063,1610,0.039367668,1.434249071
55,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_F_45,45,black,Non-Fiber,Black,0.000791,0.000303,0.000155455,0.317537586,0.000333996,1450,0.01983201,0.722522897,1290,0.015258554,0.555902036,1610,0.023786718,0.866601441
56,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_F_47,47,black,Non-Fiber,Black,0.001835,0.000297,0.000157675,0.21358295,0.000441284,1450,0.019534907,0.711698788,1290,0.015029966,0.547574073,1610,0.023430369,0.853618893
57,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_F_48,48,black,Non-Fiber,Black,0.000673,0.000396,0.000339865,0.658341628,0.000449096,1450,0.038925889,1.418154098,1290,0.029949197,1.091113865,1610,0.046688114,1.700948704
58,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_F_49,49,black,Non-Fiber,Black,0.000861,0.000529,0.000434805,0.644265859,0.000582887,1450,0.047337276,1.72459907,1290,0.036420836,1.326889622,1610,0.056776819,2.068501975
59,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_F_53,53,black,Non-Fiber,Black,0.000548,0.00039,0.00027674,0.598617424,0.000389618,1450,0.032816894,1.195590225,1290,0.025248996,0.919875401,1610,0.039360922,1.434003291
60,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_G_8,8,black,Non-Fiber,Black,0.00112,0.000779,0.0005656,0.605524418,0.000790233,1450,0.058180787,2.119651587,1290,0.044763728,1.630839158,1610,0.069782639,2.542332054
61,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.24,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_G_9,9,black,Non-Fiber,Black,0.000901,0.000495,0.000455005,0.681320057,0.000587645,1450,0.049271938,1.795082981,1290,0.037909346,1.381119253,1610,0.059097272,2.153041108
62,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.26,BF-3,SDC-BF-3-N-2,SDC-BF-3,SDC-BF-3-N-2_S0-0_A_10,10,black,Non-Fiber,Black,0.001318,0.000824,0.00066559,0.638683178,0.000897463,1450,0.066509103,2.32801045,1290,0.051171452,1.791148424,1610,0.079771707,2.79223983
