X,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,a,b,c,CSF,Deqi,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
36,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,X,combine RB-C-LB,NA,0.18,DF-3,SDC-DF-3-N_S,SDC-DF-3,SDC-DF-3-N_S0-0_F_40,40,red,Fiber,Red,0.002632,0.000398,0.000200316,0.195718177,0.000200316,1450,0.020790024,0.874599522,1440,0.020497778,0.862305281,1460,0.021079817,0.8867906
37,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,X,combine RB-C-LB,NA,0.18,DF-3,SDC-DF-3-N_S,SDC-DF-3,SDC-DF-3-N_S0-0_F_53,53,clear,Fiber,Transparent,0.003424,0.000402,0.000202712,0.172782421,0.000202712,1450,0.021145089,0.889536484,1440,0.020847257,0.877007253,1460,0.021440432,0.901961037
38,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,X,combine RB-C-LB,NA,0.18,DF-3,SDC-DF-3-N_S,SDC-DF-3,SDC-DF-3-N_S0-0_H_15,15,clear,Fiber,Transparent,0.005152,0.001239,0.000622076,0.246218038,0.000622076,1450,0.052932641,2.226782585,1440,0.052235815,2.197468339,1460,0.053622893,2.255820279
39,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,X,combine RB-C-LB,NA,0.18,DF-3,SDC-DF-3-N_S,SDC-DF-3,SDC-DF-3-N_S0-0_H_16,16,clear,Fiber,Transparent,0.003099,0.000927,0.0007763,0.458013893,0.0007763,1450,0.05775497,2.429649452,1440,0.057019248,2.398698908,1460,0.058483443,2.460294997
40,EVA,fiber,ETHYLENE-VINYL ACETATE,fiber,SDC,Low Flow,X,combine RB-C-LB,NA,0.18,DF-3,SDC-DF-3-N_S,SDC-DF-3,SDC-DF-3-N_S0-0_I_42,42,blue,Fiber,Blue,0.001336,0.000213,0.000107168,0.200896373,0.000107168,939,-0.001919221,-0.080738219,934,-0.00202544,-0.085206694,944,-0.001809893,-0.076138984
41,PE,fiber,poly(ethylene),fiber,SDC,Stormflow,1,RB,Outside Thalweg_1,0.39,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_30,30,gray,Fiber,Black,0.008324,0.003676,0.002085162,0.376951968,0.002085162,1010,0.015019081,0.429241369,751,-0.068165109,-1.948140779,1270,0.087947545,2.513517576
42,PP,fiber,POLY(PROPYLENE),fiber,SDC,Stormflow,1,RB,Outside Thalweg_1,0.39,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_4,4,blue,Fiber,Blue,0.003192,0.002126,0.000799596,0.306942864,0.000799596,1000,0.002278895,0.065130206,999,0.001462361,0.041793891,1000,0.002278895,0.065130206
43,ABS,fiber,ACRYLONITRILE BUTADIENE STYRENE (ABS),fiber,SDC,Stormflow,1,RB,Outside Thalweg_1,0.39,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_12,12,green,Fiber,Green,0.000884,0.000455,0.000221442,0.349162958,0.000221442,1110,0.009134725,0.261068026,1110,0.009134725,0.261068026,1110,0.009134725,0.261068026
44,PP,fiber,POLY(PROPYLENE),fiber,SDC,Stormflow,1,RB,Outside Thalweg_1,0.39,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_15,15,blue,Fiber,Blue,0.003728,0.000792,0.000397864,0.231544304,0.000397864,1000,0.0011956,0.034169946,999,0.000759971,0.021719762,1000,0.0011956,0.034169946
45,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,1,RB,Outside Thalweg_1,0.39,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_19,19,pink,Fiber,Red,0.000687,0.000372,0.000172094,0.340419656,0.000172094,1450,0.017624124,0.503692793,1440,0.017377666,0.496649098,1460,0.01786849,0.510676726
