Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,filter
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_D_19,19,black,tw,Non-Fiber,Blacks,0,"bounces back, retains original shape",done,0.243,0.71,0.583,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_D_21,21,black,tw,Non-Fiber,Blacks,0,"bounces back, retains original shape",done,0.22,0.95,0.439,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_D_6,6,black,tw,Non-Fiber,Blacks,0,"bounces back, retains original shape",done,0.379,1.156,0.666,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_D_9,9,black,fragment,Non-Fiber,Blacks,0,"bounces back slightly, does not retain original shape",done,0.148,0.608,0.371,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_1,1,black,fragment,Non-Fiber,Blacks,0,0,0,0.325,1.475,0.681,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_13,13,black,TW,Non-Fiber,Blacks,0,0,0,0.105,0.495,0.355,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_14,14,blue,fragment,Non-Fiber,Blues,0,0,0,0.068,0.446,0.265,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_15,15,black,fragment,Non-Fiber,Blacks,0,0,0,0.055,0.372,0.244,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_16,16,blue,fragment,Non-Fiber,Blues,0,0,0,0.119,0.652,0.331,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_18,18,gray,fragment,Non-Fiber,Blacks,0,0,0,0.114,0.789,0.397,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_23,23,clear,fragment,Non-Fiber,Transparent,0,0,0,0.000185,1.029,0.499,1.937,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_24,24,gray,fragment,Non-Fiber,Blacks,0,0,0,0.141,0.832,0.249,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_25,25,blue,fragment,Non-Fiber,Blues,0,0,0,0.02,0.232,0.137,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_27,27,blue,film,Non-Fiber,Blues,0,0,0,0.088,0.474,0.361,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_28,28,green,fragment,Non-Fiber,Greens,0,0,0,0.147,0.629,0.317,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_30,30,gray,fragment,Non-Fiber,Blacks,0,0,0,0.05,0.305,0.243,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_31,31,brown,foam,Non-Fiber,Blacks,0,0,done,0.086,0.895,0.563,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_32,32,black,TW,Non-Fiber,Blacks,0,0,0,0.055,0.78,0.152,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_33,33,gray,fragment,Non-Fiber,Blacks,0,0,done,0.039,0.394,0.235,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_39,39,green,fragment,Non-Fiber,Greens,0,0,0,0.274,1.834,0.686,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_41,41,black,TW,Non-Fiber,Blacks,0,0,0,0.01,0.164,0.11,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_42,42,gray,fragment,Non-Fiber,Blacks,0,0,0,0.124,0.688,0.345,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_43,43,black,TW,Non-Fiber,Blacks,0,0,0,0.094,0.497,0.297,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_47,47,black,fragment,Non-Fiber,Blacks,0,0,0,0.16,0.584,0.463,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_48,48,black,fragment,Non-Fiber,Blacks,0,0,0,0.397,0.892,0.687,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_5,5,green,fragment,Non-Fiber,Greens,0,0,done,0.211,2.113,0.476,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_52,52,gray,fragment,Non-Fiber,Blacks,0,0,0,0.082,0.699,0.27,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_54,54,black,TW,Non-Fiber,Blacks,0,0,0,0.035,0.338,0.178,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_55,55,black,TW,Non-Fiber,Blacks,0,0,0,0.035,0.411,0.179,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_59,59,black,TW,Non-Fiber,Blacks,0,0,0,0.038,0.326,0.217,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_61,61,black,TW,Non-Fiber,Blacks,0,0,0,0.019,0.266,0.188,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_62,62,gray,fragment,Non-Fiber,Blacks,0,0,0,0.305,1.245,0.541,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_63,63,black,TW,Non-Fiber,Blacks,0,0,0,0.072,0.519,0.264,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_E_7,7,black,fragment,Non-Fiber,Blacks,0,0,0,0.389,1.256,0.623,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_1,1,black,TW,Non-Fiber,Blacks,0,0,0,0.566,1.265,0.677,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_10,10,gray,fragment,Non-Fiber,Blacks,0,0,0,0.238,1.952,0.28,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_11,11,black,TW,Non-Fiber,Blacks,0,0,0,0.172,0.944,0.277,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_12,12,green,fragment,Non-Fiber,Greens,0,0,0,0.425,1.123,0.682,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_13,13,gray,fragment,Non-Fiber,Blacks,0,0,0,0.298,1.663,0.56,0,rep
